taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes
Prunus virginiana 'Schubert',Prunus,virginiana,,,,'Schubert',G,,,,,,,,,D1982-0562,,Smith Nursery,Plant,1,Plant,Garden Grounds,,,,Det. by comparison,
Diospyros virginiana L.,Diospyros,virginiana,,,,,G,,,,,,,,,D1988-0137,MOR 727-43,Morton Arboretum,Plant,1,Plant,Garden Grounds,,,,Not determined,
Prunus maritima Marshall,Prunus,maritima,,,,,G,,,,,,,,,D1988-0193,,UW Longenecker Hort. Garden,Plant,1,Plant,Garden Grounds,,,,Not determined,
Corylus cornuta Marshall,Corylus,cornuta,,,,,G,,,,,,,,,D1988-0369,,UW Longenecker Hort. Garden,Plant,1,Plant,Garden Grounds,,,,Det. by a taxonomic specialist,
Corylus cornuta Marshall,Corylus,cornuta,,,,,G,,,,,,,,,D1988-1077,,UW Longenecker Hort. Garden,Seed,2,Plant,Garden Grounds,,,,Det. by a taxonomic specialist,
Asimina triloba 'Mary Foos Johnson',Asimina,triloba,,,,'Mary Foos Johnson',G,,,,,,,,,D1990-0312,,"Northwoods Nursery, Molalla, OR  97038, USA",Graft,2,Plant,Garden Grounds,,,,Not determined,
Asimina triloba 'Sunflower',Asimina,triloba,,,,'Sunflower',G,,,,,,,,,D1991-0250,,"Burnt Ridge Nursery, Onalaska, WA  98570, USA",Plant,2,Plant,Garden Grounds,,,,Not determined,
Asimina triloba 'Ford Amend',Asimina,triloba,,,,'Ford Amend',G,,,,,,,,,D1991-0251,,"Burnt Ridge Nursery, Onalaska, WA  98570, USA",Plant,2,Plant,Garden Grounds,,,,Not determined,
Malus ioensis (Alph.Wood) Britton,Malus,ioensis,,,,,W,,,United States of America,WI,Dodge County,,,collected at edge of prairie.,D1991-0508,,Reeseville Ridge Nursery,Plant,2,Plant,Garden Grounds,RRN91-002,,,Det. by a taxonomic specialist,
Prunus hortulana L.H.Bailey,Prunus,hortulana,,,,,G,,,,,,,,,D1991-0518,D1950-0021,Kohankie & Sons,Seed,1,Plant,Garden Grounds,,,,Not determined,
Diospyros virginiana L.,Diospyros,virginiana,,,,,G,,,,,,,,,D1995-0498,,"Muskingum Valley Nursery, Dresden, OH  43821, USA",Plant,1,Plant,Garden Grounds,s. n.,,,Not determined,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,W,,,United States of America,IA,,,,,D1995-0999,,"Saunders, Mike, Avalon, WI 53505",Seed,2,Plant,Garden Grounds,,,,Not determined,
Asimina triloba 'Davis',Asimina,triloba,,,,'Davis',G,,,,,,,,,D1996-0515,,"Northwoods Nursery, Molalla, OR  97038, USA",Plant,1,Plant,Garden Grounds,,,,Not determined,
Asimina triloba 'Wells',Asimina,triloba,,,,'Wells',G,,,,,,,,,D1996-0516,,"Northwoods Nursery, Molalla, OR  97038, USA",Plant,1,Plant,Garden Grounds,,,,Not determined,
Diospyros virginiana 'Golden Supreme',Diospyros,virginiana,,,,'Golden Supreme',G,,,,,,,,,D1997-0373,,"Northwoods Nursery, Molalla, OR  97038, USA",Graft,2,Plant,Garden Grounds,,,,Not determined,
Diospyros virginiana 'John Rick',Diospyros,virginiana,,,,'John Rick',G,,,,,,,,,D1997-0374,,"Northwoods Nursery, Molalla, OR  97038, USA",Graft,2,Plant,Garden Grounds,,,,Not determined,
Diospyros virginiana 'Meader',Diospyros,virginiana,,,,'Meader',G,,,,,,,,,D1997-0375,,"Northwoods Nursery, Molalla, OR  97038, USA",Graft,2,Plant,Garden Grounds,,,,Not determined,
Asimina triloba 'Estil',Asimina,triloba,,,,'Estil',G,,,,,,,,,D1998-0735,,Mission Oaks Garden,Plant,1,Plant,Garden Grounds,,,,Not determined,
Carya laciniosa (F.Michx.) W.P.C.Barton,Carya,laciniosa,,,,,W,37.1795,-89.043667,United States of America,KY,Ballard County,,"Ballard State Waterfowl Management Area, Oscar Bottoms",,D1998-1081,,Dawes Arboretum,Seed,3,Plant,Garden Grounds,TDAILMO98-034,"Larson, R. A. (Dawes Arboretum)",1998-10-03,Not determined,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,W,,,United States of America,IL,Clark Co.,,east of West Union along Wabash River,,D1999-1771,,"Forster, Will, West Union, IL  62477, USA",Seed,2,Plant,Garden Grounds,s.n.,"Forster, Will",,Not determined,
Prunus virginiana L.,Prunus,virginiana,,,,,W,42.683333,-84.516667,United States of America,MI,Ingham County,,Biggie Munn Power Line,clearing through mesic southern forest,D2000-0250,98B316,"W. J. Beal Botanical Garden, Michigan State University, East Lansing, MI 48824-1047",Seed,1,Plant,Garden Grounds,,,1998-07-29,Not determined,
Corylus americana Walter,Corylus,americana,,,,,W,,,United States of America,WI,Wood County,,,,D2001-0097,,Reeseville Ridge Nursery,Seed,5,Plant,Garden Grounds,RRN01-001,,,Not determined,
